TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
23,,48,22,26,0.458,48.2,112.7,41.7,87.2,47.9,11.1,31.9,34.9,18.1,23.4,77.6,9.5,34.6,44.2,25.2,13.8,6.8,5.3,4.6,19.5,19.7,-0.7
,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,49,22,27,0.449,48.4,112.6,40.9,90.4,45.2,10.9,32.6,33.4,20,25.3,79.1,12.4,30,42.4,23.2,11.9,9.4,5.3,4.5,20.4,21.1,0.6
,Toronto Raptors,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,48,19,29,0.396,48.2,111.3,40.2,85,47.3,11,31.1,35.3,19.9,25.2,79.1,9.8,32.8,42.6,22.7,15.3,6.9,4.8,5,20.4,20.1,-3.2
,Orlando Magic,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,49,14,35,0.286,48.1,112.6,43,91.1,47.1,10.8,31.1,34.5,15.9,21.5,74.2,12,30.8,42.8,27,15.4,6.9,4,4.7,19.9,19,-9.5
,San Antonio Spurs,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,50,14,36,0.28,48.6,112,41.8,92.4,45.2,10.7,33,32.4,17.8,23.7,75.1,12,33,45,25.2,13.7,8,5,6,21.1,20.8,-6.6
,Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,50,13,37,0.26,48.3,112.8,40,87.9,45.5,11.7,32.9,35.7,21.1,27.2,77.5,11.1,31.5,42.6,22.7,14.8,7.2,3.6,5.8,22,21.7,-7.5
,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,49,11,38,0.224,48.2,109.4,39.7,88.3,44.9,11.2,34.3,32.7,18.9,25.2,75,13.1,33.7,46.8,22.4,17.1,7.2,4.8,6.1,20.6,21.2,-7.7
,Houston Rockets,,,,,,,,,,,,,,,,,,,,,,,,,,
